ID	title	year	runtime	rating	votes	budget	opening_weekend_usa	gross_usa	worldwide_gross	genres
tt0156812	My Dog Skip	2000	95	7.0	18578	6000000	56943	34134641	35547761	Comedy,Drama,Family
tt0156841	The Next Best Thing	2000	108	4.6	10409	25000000	5870387	14990582	24362772	Comedy,Drama,Romance
tt0157262	2001: A Space Travesty	2000	99	3.6	11047	45000000	n/a	n/a	270813	Comedy,Sci-Fi
tt0157472	Clockstoppers	2002	94	5.2	12838	26000000	10108333	36989956	38793283	Action,Adventure,Comedy
tt0157583	Enigma	2001	119	6.3	19434	n/a	156587	4301582	15713204	Drama,Mystery,Romance
tt0158622	The Flintstones in Viva Rock Vegas	2000	90	3.6	20000	83000000	10518435	35268275	59468275	Comedy,Family,Romance
tt0159273	Behind Enemy Lines	2001	106	6.4	95632	40000000	18736133	58856790	91753202	Action,Drama,Thriller
tt0159365	Cold Mountain	2003	154	7.2	133939	79000000	14500000	95636509	173013509	Adventure,Drama,History
tt0159784	Takedown	2000	96	6.3	6444	n/a	n/a	n/a	n/a	Biography,Crime,Drama
tt0160009	The Art of War	2000	117	5.7	27704	60000000	10410993	30208599	40400425	Action,Adventure,Crime
tt0160127	Charlie's Angels	2000	98	5.5	166931	93000000	40128550	125305545	264105545	Action,Adventure,Comedy
tt0160184	Eye See You	2002	96	5.3	22779	55000000	32300	79161	6632383	Crime,Horror,Mystery
tt0160399	Impostor	2001	95	6.2	21915	30000000	3022523	6285176	8694320	Drama,Mystery,Sci-Fi
tt0160484	Lost Souls	2000	97	4.8	10134	50000000	7954766	16815253	31355910	Drama,Horror,Thriller
tt0160611	Ordinary Decent Criminal	2000	93	6.4	12953	n/a	n/a	n/a	n/a	Comedy,Crime
tt0160797	Rules of Engagement	2000	128	6.4	42482	60000000	15011181	61335230	71732303	Drama,Thriller,War
tt0161081	What Lies Beneath	2000	130	6.6	112122	100000000	29702959	155464351	291420351	Drama,Fantasy,Horror
tt0161083	What's the Worst That Could Happen?	2001	94	5.5	14324	60000000	13049114	32269834	38464131	Comedy,Crime
tt0161860	Nowhere in Africa	2001	141	7.5	11899	n/a	22070	6180200	24322180	Biography,Drama
tt0162222	Cast Away	2000	143	7.8	484142	90000000	28883406	233632142	429632142	Adventure,Drama,Romance
tt0162346	Ghost World	2001	111	7.3	108294	7000000	98791	6217849	8764007	Comedy,Drama
tt0162650	Shaft	2000	99	5.9	70372	46000000	21714757	70334258	107626125	Action,Crime,Thriller
tt0162983	Hanging Up	2000	94	4.9	11412	60000000	13567978	36050230	51880044	Comedy,Drama
tt0163025	Jurassic Park III	2001	92	5.9	280842	93000000	50771645	181171875	368780809	Action,Adventure,Sci-Fi
tt0163978	The Beach	2000	119	6.7	212205	50000000	15277921	39785027	144056873	Adventure,Drama,Romance
tt0163983	Bless the Child	2000	107	5.1	13443	65000000	9413684	29381494	40443010	Crime,Drama,Horror
tt0164003	City of Ghosts	2002	116	6.0	4767	17500000	30547	357197	1277187	Crime,Drama,Thriller
tt0164052	Hollow Man	2000	112	5.8	116836	95000000	26414386	73209340	190213455	Action,Horror,Sci-Fi
tt0164184	The Sum of All Fears	2002	124	6.4	98341	68000000	31178526	118907036	193921372	Action,Drama,Thriller
tt0164212	Under Suspicion	2000	110	6.5	21132	25000000	109863	260562	1308242	Crime,Drama,Thriller
tt0164334	Along Came a Spider	2001	104	6.4	70321	60000000	16712407	74078174	105178561	Drama,Thriller
tt0164961	Vidocq	2001	98	6.5	20365	n/a	n/a	n/a	13240767	Action,Crime,Fantasy
tt0165361	Highway	2002	97	6.2	5921	14000000	n/a	n/a	n/a	Crime,Drama
tt0165832	Interstate 60: Episodes of the Road	2002	116	7.7	28161	7000000	n/a	n/a	8449	Adventure,Comedy,Drama
tt0165929	Romeo Must Die	2000	115	6.1	64082	25000000	18014503	55973336	91036760	Action,Crime,Thriller
tt0165982	Sinbad: Legend of the Seven Seas	2003	86	6.7	45843	60000000	6874477	26483452	80767884	Adventure,Animation,Family
tt0166110	Bones	2001	96	4.1	6308	16000000	2823548	7316658	8378853	Crime,Horror
tt0166276	Monkeybone	2001	93	4.7	16059	75000000	2685078	5411999	7622365	Animation,Comedy,Fantasy
tt0166813	Spirit: Stallion of the Cimarron	2002	83	7.1	59495	80000000	17770036	73280117	122563539	Adventure,Animation,Drama
tt0166924	Mulholland Dr.	2001	147	7.9	297305	15000000	587591	7220243	20129557	Drama,Mystery,Thriller
tt0167190	Hellboy	2004	122	6.8	295328	66000000	23172440	59623958	99378985	Action,Adventure,Fantasy
tt0167260	The Lord of the Rings: The Return of the King	2003	201	8.9	1534259	94000000	72629713	377845905	1120424614	Adventure,Drama,Fantasy
tt0167261	The Lord of the Rings: The Two Towers	2002	179	8.7	1387797	94000000	62007528	342551365	927600630	Adventure,Drama,Fantasy
tt0167456	Thunderbirds	2004	95	4.2	12649	57000000	2766810	6880917	28283637	Action,Adventure,Comedy
tt0168629	Dancer in the Dark	2000	140	8.0	95620	12800000	91612	4184036	40031879	Crime,Drama,Musical
tt0168786	Antwone Fisher	2002	120	7.3	31136	12500000	210013	21078145	23367586	Biography,Drama
tt0168856	A Fish Tale	2000	80	5.9	5481	n/a	57626	563911	5595327	Adventure,Animation,Comedy
tt0169102	Lagaan: Once Upon a Time in India	2001	224	8.1	95845	6000000	285368	909043	1724806	Adventure,Drama,Musical
tt0170016	How the Grinch Stole Christmas	2000	104	6.1	186831	123000000	55082330	260044825	345141403	Comedy,Family,Fantasy
tt0170691	Tigerland	2000	101	7.0	36648	10000000	26715	139692	148701	Drama,War
tt0171356	Gun Shy	2000	101	5.7	6686	14000000	703109	1638202	3284444	Comedy,Crime,Romance
tt0171359	Hamlet	2000	112	5.9	8829	2000000	62253	1577287	2046433	Drama,Romance,Thriller
tt0171433	Keeping the Faith	2000	128	6.3	48346	29000000	8078671	37047880	59945183	Comedy,Drama,Romance
tt0171580	Nurse Betty	2000	110	6.1	32064	35000000	7145950	25170054	29364989	Comedy,Crime,Drama
tt0172156	Bad Boys II	2003	147	6.6	210813	130000000	46522560	138608444	273339556	Action,Comedy,Crime
tt0172495	Gladiator	2000	155	8.5	1247305	103000000	34819017	187705427	460583960	Action,Adventure,Drama
tt0173716	Cecil B. DeMented	2000	87	6.2	12841	10000000	127141	1284646	1961544	Comedy,Crime,Thriller
tt0173840	Final Fantasy: The Spirits Within	2001	106	6.4	78498	137000000	11408853	32131830	85131830	Action,Adventure,Animation
tt0174480	Autumn in New York	2000	103	5.7	23741	65000000	10987006	37761915	90726668	Drama,Romance
tt0175142	Scary Movie	2000	88	6.2	219619	19000000	42346669	157019771	278019771	Comedy
tt0175526	Cherry Falls	2000	92	5.2	11618	14000000	n/a	n/a	n/a	Horror,Mystery,Thriller
tt0176783	Gossip	2000	90	5.9	13901	24000000	2321729	5108820	12591270	Drama,Mystery,Thriller
tt0177858	In July	2000	99	7.7	19859	n/a	n/a	n/a	34245	Adventure,Comedy,Romance
tt0177882	Kebab Connection	2004	96	6.6	4757	n/a	n/a	n/a	970182	Action,Comedy,Romance
